zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
54930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54968,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54909,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54646,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53959,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53964,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53559,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54966,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53944,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53948,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53933,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54613,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54921,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54982,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54970,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53934,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53910,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53952,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54984,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53955,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54494,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53590,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53901,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53926,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53925,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53594,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54981,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53916,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53946,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53956,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53913,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54976,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
56244,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56248,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56276,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56262,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56208,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56231,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56271,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56221,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56252,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56265,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56227,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56278,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56225,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56339,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56289,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56226,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56215,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56235,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56256,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56249,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56267,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
56207,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.07497245,0.091468675,0.123513066
29038,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29831,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29123,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29805,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29824,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29856,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29666,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29801,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29841,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29137,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29006,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29105,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29848,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29166,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29832,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29817,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29108,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29112,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29107,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29118,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29829,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29850,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29115,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29113,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29821,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29146,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29860,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29164,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29847,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29838,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29138,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29003,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29845,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29160,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29834,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29803,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29809,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29039,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29851,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29828,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29842,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29037,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29835,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29839,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29070,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29042,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29127,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29129,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29853,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
29804,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.116914959,0.068725121,0.137045304
94501,207,Alameda Municipal Power,CA,Bundled,Municipal,0.17546538,0,0.19967681
94130,207,Alameda Municipal Power,CA,Bundled,Municipal,0.17546538,0,0.19967681
99772,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99559,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99754,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99747,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99552,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99778,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99620,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99684,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99585,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99783,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99752,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99662,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99769,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99784,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99748,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99756,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99760,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99632,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99581,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99785,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99745,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99604,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99554,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99739,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99730,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99650,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
99576,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.415200634,0,0.500284712
